NIT,SXT,CIP,LVX,iat_prop,broad_prop,iat_prop_decision,broad_prop_decision,iat_diff_mean,iat_diff_std,broad_diff_mean,broad_diff_std,defer_rate,NIT_thresh,SXT_thresh,CIP_thresh,LVX_thresh
0.001,0.4,0.2,0.2,0.11204527244282565,0.3588368769316455,0.10891781645322604,0.30022490511174893,28.15,13.458361713076377,-183.55,36.86390511055497,0.2938788233590797,,,,
0.001,0.4,0.3,0.3,0.10823029698216895,0.3950743578227509,0.10280312750508125,0.36192218362217965,19.399999999999995,12.511594622589081,-100.6,36.23865339661505,0.2257527405305601,,,,
0.001,0.4,0.4,0.4,0.10388340367481416,0.4284377339176083,0.0982337657724206,0.40905450870622706,9.449999999999998,11.164564478742555,-24.250000000000007,37.7516555928346,0.16400779162031237,,,,
0.001,0.4,0.5,0.5,0.10019543195210283,0.4563047058489033,0.09433512719181578,0.4466551701966269,1.0000000000000018,11.554220008291338,39.550000000000004,38.39072153528768,0.10721032808080153,,,,
0.001,0.4,0.6,0.6,0.09792464845343049,0.4779728507852359,0.09165891861938971,0.47436690026281375,-4.199999999999999,12.196720870791458,89.15,40.87453363648325,0.06013626460346109,,,,
0.001,0.4,0.7,0.7,0.09667481038965867,0.49333050789333577,0.09165590205336799,0.49273139016694323,-7.05,11.90577590919634,124.25,40.84100268112918,0.026117189099724047,,,,
0.001,0.4,0.8,0.8,0.09686984815810819,0.5004730882095206,0.094099600556754,0.5012536398580956,-6.6,12.117755567760888,140.6,43.87641735602395,0.009444492506640622,,,,
0.001,0.4,0.9,0.9,0.09791985833997022,0.5029438405965612,0.09662417994728703,0.5037443331832373,-4.199999999999997,12.480384609458156,146.25,44.90309009411268,0.004457590943480661,,,,
0.001,0.5,0.001,0.001,0.12940783407828033,0.19500368485271558,0.13921942941891233,0.021849674357898984,67.9,11.810588469674151,-558.6,35.921302871694394,0.3826695206924404,,,,
0.001,0.5,0.015,0.015,0.1280960124593643,0.21090129430946444,0.13513932424873681,0.058554984023018855,64.9,12.214335839496146,-522.25,39.17891652406943,0.3585052384856679,,,,
0.001,0.5,0.1,0.1,0.12412364285722385,0.24844704804114787,0.12564236656642108,0.14321535496624616,55.8,12.056533498481228,-436.25,39.319047546958735,0.29517838702150573,,,,
0.001,0.5,0.2,0.2,0.12119499514266371,0.2764975714336039,0.11985982182012908,0.20196138016269066,49.1,12.700000000000001,-372.05,39.0083003987613,0.24336885953083306,,,,
0.001,0.5,0.3,0.3,0.11816607275729671,0.30353890593084343,0.11475840086667652,0.2538737020241811,42.15,10.94200621458423,-310.15,38.355279949441126,0.190812558797135,,,,
0.001,0.5,0.4,0.4,0.11460601242353947,0.3288650339780796,0.11079530572006666,0.2957495709772581,33.999999999999986,10.672394295564606,-252.2,43.4886192008898,0.14262923452244877,,,,
0.001,0.5,0.5,0.5,0.11157236309518692,0.35129901007817554,0.10714613052227188,0.3317202755985276,27.05,10.897132650381012,-200.85,43.948009056156344,0.09650408229806876,,,,
0.001,0.5,0.6,0.6,0.10960616462900677,0.3700817399938236,0.10425109580923601,0.36040993833223023,22.549999999999994,11.070117433884787,-157.85,46.18254540408098,0.05595998836872644,,,,
0.001,0.5,0.7,0.7,0.10864066070087541,0.38397573026514004,0.10397437370276523,0.38058653398277814,20.35,11.332585759657853,-126.1,47.73876831255703,0.025153450515006746,,,,
0.001,0.5,0.8,0.8,0.10877024058606297,0.3908343692117876,0.1060912585384733,0.3905204881378073,20.65,11.654505566518038,-110.4,49.56248581336495,0.009247055010260024,,,,
0.001,0.5,0.9,0.9,0.10975461725769593,0.39317384126368243,0.10850595442116946,0.3934699943608775,22.9,12.267436570041841,-105.05000000000003,50.45242808824962,0.004413518587899695,,,,
0.001,0.6,0.001,0.001,0.13670752923103469,0.14422459814592276,0.141858994832377,0.01451133287729194,84.6,12.265398485169566,-674.8,28.454525123431605,0.27876962490505675,,,,
0.001,0.6,0.015,0.015,0.13567904875805334,0.15625760459346622,0.13924378078702518,0.0378856803591426,82.25,12.640708049788982,-647.3,29.61773117576702,0.2611814713859511,,,,
0.001,0.6,0.1,0.1,0.13292903401653522,0.18046986752262872,0.13375756882172887,0.08784137579169779,75.95,11.956065406311556,-591.85,30.058734171618095,0.2207742466394942,,,,
0.001,0.6,0.2,0.2,0.13102822684461224,0.19868022618480863,0.13026730224422062,0.12587216323250644,71.6,12.30609605033213,-550.15,29.37903163822799,0.18689665703628378,,,,
0.001,0.6,0.3,0.3,0.12893733725483228,0.21697783472758353,0.12669987250229528,0.1627561014671182,66.8,11.020889256316845,-508.25,27.1530385040054,0.15112749882166188,,,,
0.001,0.6,0.4,0.4,0.12614341960448414,0.2346064862689873,0.12348110770219937,0.1948968471708455,60.4,11.394735626595294,-467.9,32.07319753314285,0.11722023538202982,,,,
0.001,0.6,0.5,0.5,0.12406856650660188,0.2506180484031882,0.12054390320973221,0.2247863934216272,55.65,11.35902724708414,-431.25,33.22028747617937,0.08316582001334968,,,,
0.001,0.6,0.6,0.6,0.12227720771746342,0.2660149049293794,0.11764934345543288,0.2514436200182712,51.55,11.110693047690592,-396.0,36.47190699702993,0.05051087518324804,,,,
0.001,0.6,0.7,0.7,0.12144445155697678,0.2777838106305265,0.11714507489749279,0.2718301631204708,49.65,11.16366875180377,-369.1,37.270497716021985,0.02392943862248309,,,,
0.001,0.6,0.8,0.8,0.12157301168211787,0.28416177778144963,0.11904840170534789,0.2828368177073977,49.95,11.783356907095706,-354.5,38.160843806184374,0.008962705653902165,,,,
0.001,0.6,0.9,0.9,0.1223832033108179,0.2863270647904116,0.12122488668108103,0.28617171557945364,51.8,12.492397688194206,-349.55,39.15159639146277,0.004325159769459514,,,,
0.001,0.7,0.001,0.001,0.14474522672636944,0.09559614359311523,0.14491203029804017,0.009438276226847151,103.0,12.473972903610134,-786.1,26.636253490309063,0.1858758556077347,,,,
0.001,0.7,0.015,0.015,0.14391418903536793,0.10362656110002957,0.14329581922067508,0.02315369756229004,101.1,12.585308895692627,-767.75,26.42513008482643,0.17441035781684705,,,,
0.001,0.7,0.1,0.1,0.14201586131285915,0.11811964531597133,0.1403695566641338,0.05075294874259699,96.75,12.287697099131307,-734.55,26.15430174942547,0.1504282639136509,,,,
0.001,0.7,0.2,0.2,0.1405311696894223,0.1288396175807898,0.1384946285999747,0.07107353010406853,93.35,12.783876563859646,-710.0,27.85318653224441,0.13185768984854968,,,,
0.001,0.7,0.3,0.3,0.13918054123131401,0.1397582360228415,0.1367051317970088,0.09189425116104086,90.25,11.712706775122472,-685.0,27.08320512790168,0.11198130268990147,,,,
0.001,0.7,0.4,0.4,0.13717310086191217,0.15041602115598232,0.13459602313730443,0.11196920194096578,85.65,12.293392534203079,-660.6,29.84359227707014,0.09190585244014007,,,,
0.001,0.7,0.5,0.5,0.13564479023180762,0.1612028448139788,0.13235221592129975,0.13357686383131934,82.15,12.232232012188124,-635.9,31.009514668888325,0.06923812689343849,,,,
0.001,0.7,0.6,0.6,0.134181506307406,0.17280047548922203,0.13000892911837642,0.15580145373376594,78.8,12.1926207191071,-609.35,34.07091868441473,0.04471264911397501,,,,
0.001,0.7,0.7,0.7,0.1335678155476231,0.18268731404945204,0.12951601631946866,0.17494418312582674,77.4,12.249081598226045,-586.75,34.31890878218595,0.02255261474407253,,,,
0.001,0.7,0.8,0.8,0.13365309397860045,0.18862869022848083,0.13123533993919462,0.1865525868125526,77.6,12.85068091581142,-573.15,35.39812848160195,0.008612903189767856,,,,
0.001,0.7,0.9,0.9,0.134398132602261,0.1906628485328958,0.13329968295734013,0.19013852262672878,79.3,13.565028566132842,-568.5,36.26223931309262,0.004215789671198361,,,,
0.001,0.8,0.001,0.001,0.1509990340130271,0.05229870335585578,0.1485190325853198,0.004535208967962281,117.3,12.641598000252976,-885.15,21.852402613900395,0.10225092045158898,,,,
0.001,0.8,0.015,0.015,0.15064876963535942,0.05621989710096311,0.14780166193566163,0.01065267342536889,116.5,12.858849093134268,-876.2,22.285869962826244,0.09668898976309695,,,,
0.001,0.8,0.1,0.1,0.14962139628486404,0.06272646454220762,0.14659408614040703,0.021888729794095813,114.15,12.803417512523756,-861.3,22.01613045019492,0.08631086798637126,,,,
0.001,0.8,0.2,0.2,0.1488801835333195,0.0674417621234569,0.14587564410959936,0.030488770014261472,112.45,12.615367612558893,-850.5,21.742814905158912,0.0782061815728263,,,,
0.001,0.8,0.3,0.3,0.14837905854138253,0.07257364788255376,0.14509718378066788,0.03925044729202527,111.3,12.522379965485786,-838.75,21.144443714602666,0.06979853703682574,,,,
0.001,0.8,0.4,0.4,0.147178861551641,0.07768180668451755,0.1440584702726727,0.04841031554257772,108.55,13.001826794723883,-827.05,21.89400602904823,0.06084667705167203,,,,
0.001,0.8,0.5,0.5,0.14621766578184944,0.0833576580734936,0.1427362525318815,0.06031322535838405,106.35,12.70541223258813,-814.05,21.871156805253808,0.04894658057730113,,,,
0.001,0.8,0.6,0.6,0.14525728326942072,0.08973303723885818,0.14125400652434045,0.07379525435232155,104.15,12.47106651413584,-799.45,21.94191194950888,0.03510293917903335,,,,
0.001,0.8,0.7,0.7,0.1446218081769298,0.09666576254957063,0.14094644488309563,0.08813507040717154,102.7,12.802734082999613,-783.6,21.678099547700224,0.019928720295560986,,,,
0.001,0.8,0.8,0.8,0.14475064985039743,0.10177616464973219,0.14243938083257107,0.09921668712853224,103.0,13.251415018781959,-771.9,21.71382048373801,0.007890423389694052,,,,
0.001,0.8,0.9,0.9,0.14536435611431714,0.10359226121160432,0.14427854932869685,0.10275778271321445,104.4,13.843409984537772,-767.75,22.4296121232624,0.0039737513928675364,,,,
0.001,0.9,0.001,0.001,0.15773076111526013,0.01761161760549218,0.15403871122931478,0.001132790727180951,132.7,12.80273408299962,-964.5,17.03672503740084,0.034191495208896396,,,,
0.001,0.9,0.015,0.015,0.15768694840876843,0.01816019187683255,0.15396921145494735,0.0021740914694414848,132.6,12.96302433847904,-963.25,17.27100170806546,0.033183859014473564,,,,
0.001,0.9,0.1,0.1,0.15729307122520617,0.019360861730548014,0.15375158178518272,0.004179277268092973,131.7,12.641598000252968,-960.5,17.206103568210928,0.031237798112297155,,,,
0.001,0.9,0.2,0.2,0.15698690058353953,0.020411115696870732,0.15351060937106634,0.006017924473510267,131.0,12.6372465355393,-958.1,16.714963356226665,0.029445671069396773,,,,
